id,genres
309887,Action
309887,Comedy
302429,Family
302429,Animation
302429,Music
302429,Fantasy
253331,Drama
293771,Science Fiction
293771,Horror
323373,Horror
323373,Comedy
323027,Fantasy
323027,Animation
323027,Action
297806,Music
297806,Drama
253626,Thriller
253626,Drama
253626,Action
354251,Horror
354251,Thriller
354251,Fantasy
354251,Science Fiction
329637,Adventure
329637,Science Fiction
329637,Action
329637,Fantasy
257444,Horror
257444,Drama
257444,Thriller
355338,Family
355338,Animation
271736,Drama
309581,Drama
309581,Thriller
293970,Comedy
293970,Horror
279690,Comedy
279690,Horror
279690,Thriller
279690,Drama
364067,Music
364067,Comedy
318922,Crime
318922,Comedy
318922,Thriller
335077,Action
335077,Science Fiction
335077,Family
335077,Adventure
266639,Adventure
266639,Music
266639,Drama
266639,Fantasy
274504,Drama
274504,Action
274504,Thriller
244316,Thriller
244316,Horror
244316,Action
352208,Documentary
283587,War
283587,Drama
311539,Horror
277713,Drama
347945,Science Fiction
347945,Mystery
347945,Thriller
363483,TV Movie
363483,Family
344854,Horror
344854,Thriller
234212,Horror
234212,Thriller
354220,Thriller
354220,Horror
354220,Crime
283596,Comedy
283596,Drama
283596,Thriller
250225,Drama
307479,Action
307479,Thriller
339145,Drama
323660,Adventure
323660,Action
323660,Fantasy
308638,Comedy
308638,Drama
359983,Animation
359983,TV Movie
359983,Family
300155,Drama
300155,Romance
300155,Thriller
328595,Action
328595,Science Fiction
327528,Music
327528,Drama
329540,Action
329540,Thriller
306964,Horror
360387,Action
360387,Adventure
362185,Drama
362185,Action
362185,Thriller
94365,Horror
241855,Science Fiction
241855,Romance
241855,Horror
322518,Thriller
291272,Horror
324963,Fantasy
324963,Family
324963,Animation
342927,Horror
342927,Action
342927,Science Fiction
361159,Action
361159,Horror
365805,Horror
365805,Action
365805,Thriller
351964,Romance
351964,Comedy
362057,Thriller
362057,Horror
362057,Drama
137333,Science Fiction
137333,Drama
137333,Thriller
317198,Comedy
317198,Adventure
317198,TV Movie
57876,Science Fiction
57876,Thriller
57876,Horror
339533,Science Fiction
339533,Action
339533,TV Movie
277546,Drama
308457,Family
308457,Drama
308457,Science Fiction
306482,Drama
306482,Thriller
362105,Horror
362105,Comedy
245846,Thriller
245846,Drama
330112,Comedy
330112,Romance
330112,Drama
322766,Thriller
322766,Drama
322766,Crime
361931,Documentary
318224,Documentary
309503,Drama
309503,Thriller
348811,Action
348811,War
310135,Comedy
310135,Action
310135,Adventure
310135,Science Fiction
355111,Family
355111,Music
355111,Animation
335866,Science Fiction
335866,Horror
335866,Drama
335866,Thriller
295592,Documentary
295592,Animation
335970,Comedy
366142,Animation
310121,Comedy
310121,Drama
361263,Crime
361263,TV Movie
361263,Drama
361263,Mystery
324308,Documentary
326923,TV Movie
326923,Drama
356842,Thriller
339530,Horror
339530,Action
339530,Science Fiction
331190,Thriller
331190,Drama
331190,Crime
301729,Fantasy
301729,Thriller
301729,Science Fiction
395883,Science Fiction
395883,Action
356300,Comedy
218784,Horror
218784,Comedy
218784,Science Fiction
310137,Horror
310137,Thriller
342917,Family
342917,Animation
342917,Action
79698,Science Fiction
79698,Adventure
79698,Action
79698,Romance
337960,Drama
296130,Horror
296130,Science Fiction
327418,Family
327418,Animation
327418,Action
246133,Comedy
246133,Drama
328869,Drama
308032,Drama
308032,Thriller
329829,Romance
329829,History
329829,Drama
330544,TV Movie
330544,Music
330544,Drama
299551,Horror
207270,Horror
207270,Thriller
307946,Drama
356905,Adventure
356905,Family
318279,Documentary
318279,Adventure
345637,Animation
284286,Drama
284286,Comedy
284286,Romance
340816,Comedy
340816,Romance
206197,Thriller
206197,Drama
206197,Mystery
331446,Science Fiction
331446,Horror
331446,TV Movie
351901,Thriller
351901,Action
357681,Documentary
333657,Drama
336845,Crime
336845,Drama
343795,Drama
294562,TV Movie
294562,Science Fiction
294562,Horror
306197,Comedy
306197,Drama
297556,Animation
297556,Action
297556,Science Fiction
297556,Adventure
354743,Drama
354743,Romance
157422,Horror
316885,Drama
228973,Thriller
228973,Horror
228973,Drama
323967,Comedy
323967,Drama
320048,Horror
320048,Thriller
320048,Drama
359305,Mystery
359305,Thriller
359305,Drama
329004,Thriller
329004,Science Fiction
329004,Drama
362180,Horror
343284,Horror
343284,Comedy
243752,Comedy
243752,Romance
291866,Thriller
291866,Science Fiction
291866,Horror
330127,Family
330127,Documentary
330127,History
323694,Romance
323694,Comedy
323694,Horror
